"DMS_ORIG","DMS_DEST","SCTG2","DMS_MODE","Total KTons in 2015"
"Birmingham AL","Birmingham AL","Plastics/rubber","Truck","76.930260"
"Birmingham AL","Mobile AL","Plastics/rubber","Truck","1.088090"
"Birmingham AL","Rest of AL","Plastics/rubber","Truck","25.370155"
"Birmingham AL","Phoenix AZ","Plastics/rubber","Truck","0.254355"
"Birmingham AL","Arkansas","Plastics/rubber","Truck","1.332436"
"Birmingham AL","Los Angeles CA","Plastics/rubber","Truck","2.064606"
"Birmingham AL","Sacramento CA","Plastics/rubber","Truck","0.349423"
"Birmingham AL","San Francisco CA","Plastics/rubber","Truck","0.164358"
"Birmingham AL","Fresno CA","Plastics/rubber","Truck","0.003009"
"Birmingham AL","Denver CO","Plastics/rubber","Truck","0.227776"
"Birmingham AL","Rest of CO","Plastics/rubber","Truck","0.989984"
"Birmingham AL","Philadelphia PA-NJ-DE-MD (DE Part)","Plastics/rubber","Truck","2.371379"
"Birmingham AL","Jacksonville FL-GA  CFS Area (FL Part)","Plastics/rubber","Truck","0.264989"
"Birmingham AL","Miami FL","Plastics/rubber","Truck","4.483342"
"Birmingham AL","Orlando FL","Plastics/rubber","Truck","4.020527"
"Birmingham AL","Tampa FL","Plastics/rubber","Truck","4.064620"
"Birmingham AL","Rest of FL","Plastics/rubber","Truck","4.508412"
"Birmingham AL","Atlanta GA","Plastics/rubber","Truck","6.819349"
"Birmingham AL","Rest of GA","Plastics/rubber","Truck","7.005047"
"Birmingham AL","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","3.348210"
"Birmingham AL","Rest of IL","Plastics/rubber","Truck","3.461285"
"Birmingham AL","Chicago IL-IN-WI (IN Part)","Plastics/rubber","Truck","0.070246"
"Birmingham AL","Indianapolis IN","Plastics/rubber","Truck","3.258404"
"Birmingham AL","Fort Wayne IN","Plastics/rubber","Truck","0.531665"
"Birmingham AL","Rest of IN","Plastics/rubber","Truck","2.005107"
"Birmingham AL","Iowa","Plastics/rubber","Truck","4.363432"
"Birmingham AL","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","0.080412"
"Birmingham AL","Rest of KS","Plastics/rubber","Truck","0.315468"
"Birmingham AL","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.395308"
"Birmingham AL","Rest of KY","Plastics/rubber","Truck","1.858409"
"Birmingham AL","Baton Rouge LA","Plastics/rubber","Truck","0.164319"
"Birmingham AL","Lake Charles LA","Plastics/rubber","Truck","1.683416"
"Birmingham AL","New Orleans LA-MS (LA Part)","Plastics/rubber","Truck","3.056055"
"Birmingham AL","Rest of LA","Plastics/rubber","Truck","8.537711"
"Birmingham AL","Baltimore MD","Plastics/rubber","Truck","0.906383"
"Birmingham AL","Washington DC-VA-MD-WV (MD Part)","Plastics/rubber","Truck","0.894978"
"Birmingham AL","Rest of MD","Plastics/rubber","Truck","1.044173"
"Birmingham AL","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","1.291624"
"Birmingham AL","Detroit MI","Plastics/rubber","Truck","0.327576"
"Birmingham AL","Grand Rapids MI","Plastics/rubber","Truck","0.330536"
"Birmingham AL","Rest of MI","Plastics/rubber","Truck","0.411687"
"Birmingham AL","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","0.202970"
"Birmingham AL","Rest of MN","Plastics/rubber","Truck","0.244198"
"Birmingham AL","Mississippi","Plastics/rubber","Truck","5.789930"
"Birmingham AL","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","3.290704"
"Birmingham AL","Rest of MO","Plastics/rubber","Truck","4.456594"
"Birmingham AL","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","0.258238"
"Birmingham AL","Rest of NE","Plastics/rubber","Truck","0.135886"
"Birmingham AL","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","2.549306"
"Birmingham AL","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","1.242700"
"Birmingham AL","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","1.177716"
"Birmingham AL","New Mexico","Plastics/rubber","Truck","0.387889"
"Birmingham AL","Buffalo NY  CFS Area","Plastics/rubber","Truck","0.371424"
"Birmingham AL","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","1.322018"
"Birmingham AL","Rochester NY","Plastics/rubber","Truck","0.355711"
